Id,Date,TotalSteps,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalSleepHours
1503960366,2016-04-12,13162,25,13,328,728,5.45
1503960366,2016-04-13,10735,21,19,217,776,6.4
1503960366,2016-04-15,9762,29,34,209,726,6.866666666666666
1503960366,2016-04-16,12669,36,10,221,773,5.666666666666667
1503960366,2016-04-17,9705,38,20,164,539,11.666666666666666
1503960366,2016-04-19,15506,50,31,264,775,5.066666666666666
1503960366,2016-04-20,10544,28,12,205,818,6.0
1503960366,2016-04-21,9819,19,8,211,838,5.416666666666667
1503960366,2016-04-23,14371,41,21,262,732,6.016666666666667
1503960366,2016-04-24,10039,39,5,238,709,7.166666666666667
1503960366,2016-04-25,15355,73,14,216,814,4.616666666666666
1503960366,2016-04-26,13755,31,23,279,833,4.083333333333333
1503960366,2016-04-28,13154,48,28,189,782,6.1
1503960366,2016-04-29,11181,16,12,243,815,5.683333333333334
1503960366,2016-04-30,14673,52,34,217,712,6.733333333333333
1503960366,2016-05-01,10602,33,35,246,730,6.15
1503960366,2016-05-02,14727,41,15,277,798,4.616666666666666
1503960366,2016-05-03,15103,50,24,254,816,4.55
1503960366,2016-05-05,14070,45,24,250,857,4.116666666666666
1503960366,2016-05-06,12159,24,6,289,754,5.566666666666666
1503960366,2016-05-07,11992,37,46,175,833,5.516666666666667
1503960366,2016-05-08,10060,44,8,203,574,9.9
1503960366,2016-05-09,12022,46,11,206,835,5.633333333333334
1503960366,2016-05-10,12207,46,31,214,746,6.383333333333334
1503960366,2016-05-11,12770,36,23,251,669,4.75
1644430081,2016-04-29,3176,0,0,120,1193,1.9833333333333334
1644430081,2016-04-30,18213,9,71,402,816,2.066666666666667
1644430081,2016-05-02,3758,1,7,148,682,13.266666666666667
1644430081,2016-05-08,6724,0,0,295,991,2.283333333333333
1844505072,2016-04-15,3844,0,0,176,527,10.733333333333333
1844505072,2016-04-30,4014,0,0,184,218,12.033333333333333
1844505072,2016-05-01,2573,0,7,75,585,9.833333333333334
1927972279,2016-04-12,678,0,0,55,734,12.5
1927972279,2016-04-13,356,0,0,32,986,6.633333333333334
1927972279,2016-04-15,980,0,0,51,941,7.916666666666667
1927972279,2016-04-26,3761,0,0,192,1058,4.933333333333334
1927972279,2016-04-28,1675,0,0,95,1167,2.7666666666666666
2026352035,2016-04-12,4414,3,8,181,706,8.383333333333333
2026352035,2016-04-13,4993,0,0,238,663,8.85
2026352035,2016-04-14,3335,0,0,197,653,9.083333333333334
2026352035,2016-04-15,3821,0,0,188,687,8.716666666666667
2026352035,2016-04-16,2547,0,0,150,728,8.733333333333333
2026352035,2016-04-17,838,0,0,60,1053,7.283333333333333
2026352035,2016-04-19,2424,0,0,141,785,8.3
2026352035,2016-04-20,7222,0,0,327,623,7.683333333333334
2026352035,2016-04-21,2467,0,0,153,749,7.95
2026352035,2016-04-22,2915,0,0,162,712,8.666666666666666
2026352035,2016-04-23,12357,0,0,432,458,8.7
2026352035,2016-04-24,3490,0,0,164,704,9.25
2026352035,2016-04-25,6017,0,0,260,821,8.433333333333334
2026352035,2016-04-27,6088,0,0,286,586,8.466666666666667
2026352035,2016-04-28,6375,0,0,331,626,8.55
2026352035,2016-04-29,7604,0,0,352,492,8.166666666666666
2026352035,2016-04-30,4729,0,0,233,594,9.55
2026352035,2016-05-01,3609,0,0,191,716,8.783333333333333
2026352035,2016-05-02,7018,0,0,355,716,8.516666666666667
2026352035,2016-05-04,6564,0,0,345,530,8.966666666666667
2026352035,2016-05-05,12167,0,0,475,479,7.8
